objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Municipality_Measure_Costs,00_00_00_00,D,average,20,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D,average,60,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D,average,100,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G,average,20,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G,average,60,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G,average,100,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G&Wp,average,20,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G&Wp,average,60,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&G&Wp,average,100,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&Wp,average,20,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&Wp,average,60,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,D&Wp,average,100,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,G,average,20,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,G,average,60,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,G,average,100,0.0,0.0,00,00,00,00
Municipality_Measure_Costs,00_00_00_00,G&Wp,average,20,0.0,0.0,00,00,00,00
