objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D&G&Wp,average,100,1,40.0,1.12,01_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,3,50.0,1.15,03_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,5,40.0,0.92,05_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,7,40.0,0.93,07_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,9,40.0,1.1,09_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,11,40.0,1.08,11_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,13,40.0,0.95,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,1,30.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,3,30.0,1.02,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,5,30.0,0.98,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,7,30.0,0.98,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,9,30.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,11,30.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,13,30.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,0,40.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,1,40.0,1.08,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,3,40.0,1.11,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,5,40.0,0.95,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,7,40.0,0.95,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,9,40.0,1.05,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,11,40.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,13,40.0,0.97,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,0,50.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,1,50.0,1.11,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,3,50.0,1.13,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,5,40.0,0.93,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,7,40.0,0.94,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,9,50.0,1.09,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,11,50.0,1.07,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,13,40.0,0.96,13_00_00_00
Crop_Productivity_Loss_[%],G,average,20,0,20.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G,average,20,1,20.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],G,average,20,3,20.0,1.03,03_00_00_00
Crop_Productivity_Loss_[%],G,average,20,5,20.0,0.95,05_00_00_00
Crop_Productivity_Loss_[%],G,average,20,7,20.0,0.95,07_00_00_00
Crop_Productivity_Loss_[%],G,average,20,9,20.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],G,average,20,11,20.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],G,average,20,13,20.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],G,average,60,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G,average,60,1,30.0,1.12,01_00_00_00
Crop_Productivity_Loss_[%],G,average,60,3,30.0,1.15,03_00_00_00
Crop_Productivity_Loss_[%],G,average,60,5,30.0,0.92,05_00_00_00
Crop_Productivity_Loss_[%],G,average,60,7,30.0,0.92,07_00_00_00
Crop_Productivity_Loss_[%],G,average,60,9,30.0,1.08,09_00_00_00
Crop_Productivity_Loss_[%],G,average,60,11,30.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],G,average,60,13,30.0,0.95,13_00_00_00
Crop_Productivity_Loss_[%],G,average,100,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G,average,100,1,30.0,1.17,01_00_00_00
Crop_Productivity_Loss_[%],G,average,100,3,30.0,1.2,03_00_00_00
Crop_Productivity_Loss_[%],G,average,100,5,30.0,0.88,05_00_00_00
Crop_Productivity_Loss_[%],G,average,100,7,30.0,0.88,07_00_00_00
Crop_Productivity_Loss_[%],G,average,100,9,30.0,1.14,09_00_00_00
Crop_Productivity_Loss_[%],G,average,100,11,30.0,1.09,11_00_00_00
Crop_Productivity_Loss_[%],G,average,100,13,30.0,0.91,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,1,30.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,3,30.0,1.02,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,5,30.0,0.97,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,7,30.0,0.97,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,9,30.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,11,30.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,13,30.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,0,40.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,1,40.0,1.09,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,3,40.0,1.11,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,5,40.0,0.94,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,7,40.0,0.95,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,9,40.0,1.06,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,11,40.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,13,40.0,0.96,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,0,50.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,1,50.0,1.11,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,3,50.0,1.12,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,5,40.0,0.92,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,7,40.0,0.93,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,9,50.0,1.09,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,11,50.0,1.08,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,13,50.0,0.94,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,1,30.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,3,30.0,1.02,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,5,30.0,0.99,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,7,30.0,0.99,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,9,30.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,11,30.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,13,30.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,0,50.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,1,60.0,1.08,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,3,60.0,1.1,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,5,50.0,0.95,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,7,50.0,0.96,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,9,60.0,1.06,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,11,60.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,13,50.0,0.97,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,0,70.0,1.0,00_00_00_00
