objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Crop_Loss,00_00_00_00,D,average,20,34.48,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D,average,60,122.99,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D,average,100,196.53,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,20,35.2,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,60,129.66,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,100,214.42,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,20,40.61,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,60,178.62,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,100,341.08,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,20,42.96,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,60,199.77,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,100,395.46,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,20,35.91,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,60,136.34,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,100,232.32,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,20,43.68,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,60,206.44,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,100,413.36,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,20,51.44,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,60,276.55,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,100,594.4,1.0,00,00,00,00
Crop_Loss,00_00_01_00,D,average,20,34.48,1.0,00,00,01,00
Crop_Loss,00_00_01_00,D,average,60,121.19,0.99,00,00,01,00
Crop_Loss,00_00_01_00,D,average,100,185.7,0.94,00,00,01,00
Crop_Loss,00_00_01_00,D&G,average,20,35.2,1.0,00,00,01,00
Crop_Loss,00_00_01_00,D&G,average,60,127.61,0.98,00,00,01,00
Crop_Loss,00_00_01_00,D&G,average,100,199.34,0.93,00,00,01,00
Crop_Loss,00_00_01_00,D&G&Wp,average,20,40.61,1.0,00,00,01,00
Crop_Loss,00_00_01_00,D&G&Wp,average,60,176.17,0.99,00,00,01,00
Crop_Loss,00_00_01_00,D&G&Wp,average,100,323.33,0.95,00,00,01,00
Crop_Loss,00_00_01_00,D&Wp,average,20,42.96,1.0,00,00,01,00
Crop_Loss,00_00_01_00,D&Wp,average,60,197.24,0.99,00,00,01,00
Crop_Loss,00_00_01_00,D&Wp,average,100,378.51,0.96,00,00,01,00
Crop_Loss,00_00_01_00,G,average,20,35.91,1.0,00,00,01,00
Crop_Loss,00_00_01_00,G,average,60,134.02,0.98,00,00,01,00
Crop_Loss,00_00_01_00,G,average,100,212.98,0.92,00,00,01,00
Crop_Loss,00_00_01_00,G&Wp,average,20,43.68,1.0,00,00,01,00
Crop_Loss,00_00_01_00,G&Wp,average,60,203.66,0.99,00,00,01,00
Crop_Loss,00_00_01_00,G&Wp,average,100,392.15,0.95,00,00,01,00
Crop_Loss,00_00_01_00,Wp,average,20,51.44,1.0,00,00,01,00
Crop_Loss,00_00_01_00,Wp,average,60,273.29,0.99,00,00,01,00
Crop_Loss,00_00_01_00,Wp,average,100,571.31,0.96,00,00,01,00
Crop_Loss,00_00_03_00,D,average,20,34.48,1.0,00,00,03,00
Crop_Loss,00_00_03_00,D,average,60,121.19,0.99,00,00,03,00
Crop_Loss,00_00_03_00,D,average,100,185.7,0.94,00,00,03,00
Crop_Loss,00_00_03_00,D&G,average,20,35.2,1.0,00,00,03,00
Crop_Loss,00_00_03_00,D&G,average,60,127.61,0.98,00,00,03,00
Crop_Loss,00_00_03_00,D&G,average,100,199.34,0.93,00,00,03,00
Crop_Loss,00_00_03_00,D&G&Wp,average,20,40.61,1.0,00,00,03,00
Crop_Loss,00_00_03_00,D&G&Wp,average,60,176.17,0.99,00,00,03,00
Crop_Loss,00_00_03_00,D&G&Wp,average,100,323.33,0.95,00,00,03,00
Crop_Loss,00_00_03_00,D&Wp,average,20,42.96,1.0,00,00,03,00
Crop_Loss,00_00_03_00,D&Wp,average,60,197.24,0.99,00,00,03,00
Crop_Loss,00_00_03_00,D&Wp,average,100,378.51,0.96,00,00,03,00
Crop_Loss,00_00_03_00,G,average,20,35.91,1.0,00,00,03,00
Crop_Loss,00_00_03_00,G,average,60,134.02,0.98,00,00,03,00
Crop_Loss,00_00_03_00,G,average,100,212.98,0.92,00,00,03,00
Crop_Loss,00_00_03_00,G&Wp,average,20,43.68,1.0,00,00,03,00
Crop_Loss,00_00_03_00,G&Wp,average,60,203.66,0.99,00,00,03,00
Crop_Loss,00_00_03_00,G&Wp,average,100,392.15,0.95,00,00,03,00
Crop_Loss,00_00_03_00,Wp,average,20,51.44,1.0,00,00,03,00
Crop_Loss,00_00_03_00,Wp,average,60,273.29,0.99,00,00,03,00
Crop_Loss,00_00_03_00,Wp,average,100,571.31,0.96,00,00,03,00
Crop_Loss,00_00_05_00,D,average,20,31.2,0.9,00,00,05,00
Crop_Loss,00_00_05_00,D,average,60,111.64,0.91,00,00,05,00
Crop_Loss,00_00_05_00,D,average,100,173.49,0.88,00,00,05,00
